transaction_id,ngo_id,amount,days_since_donation,ngo_avg_verification_time,ngo_pending_ratio,is_round_number,hour_of_day,is_anomalous,reason
T00001,NGO001,14345.85,5.3,50.4,0.29,False,11,0,
T00002,NGO001,21991.43,4.29,42.89,0.19,False,15,0,
T00003,NGO001,9348.24,6.94,42.93,0.23,False,17,0,
T00004,NGO001,14412.09,13.68,46.84,0.27,False,11,0,
T00005,NGO001,11726.99,5.12,43.85,0.33,False,12,0,
T00006,NGO001,9120.31,5.31,178.22,0.23,False,16,1,Unusually slow bill verification for this NGO (178h)
T00007,NGO001,4924.2,2.87,46.18,0.28,False,15,0,
T00008,NGO001,5942.46,6.79,50.58,0.28,False,13,0,
T00009,NGO001,9660.83,2.86,40.03,0.23,False,14,0,
T00010,NGO001,9910.04,8.1,46.18,0.29,False,13,0,
T00011,NGO001,9966.81,5.66,50.07,0.24,False,15,0,
T00012,NGO001,42175.05,0.13,48.87,0.24,False,15,0,
T00013,NGO001,15021.03,3.1,46.11,0.27,False,20,0,
T00014,NGO001,9285.41,6.89,42.57,0.23,False,13,0,
T00015,NGO001,39839.19,8.47,46.54,0.3,False,11,0,
T00016,NGO001,13713.13,4.76,41.46,0.26,False,15,0,
T00017,NGO001,24300.34,5.23,48.21,0.23,False,10,0,
T00018,NGO001,12349.2,11.84,45.2,0.24,False,10,0,
T00019,NGO001,19258.88,1.62,43.67,0.27,False,10,0,
T00020,NGO001,10379.94,3.73,47.03,0.27,False,14,0,
T00021,NGO001,15000.0,1.72,46.67,0.33,True,18,1,"Round-number amount, possible structuring"
T00022,NGO001,5614.17,8.18,43.8,0.28,False,12,0,
T00023,NGO001,21629.93,7.63,45.74,0.23,False,15,0,
T00024,NGO001,20688.21,8.15,42.8,0.25,False,16,0,
T00025,NGO001,15079.56,7.85,49.41,0.27,False,16,0,
T00026,NGO001,26379.02,11.62,46.85,0.25,False,11,0,
T00027,NGO001,6369.07,6.36,48.66,0.27,False,11,0,
T00028,NGO001,10243.13,6.33,45.98,0.3,False,12,0,
T00029,NGO001,26100.21,11.37,47.36,0.26,False,12,0,
T00030,NGO001,5630.69,5.99,44.51,0.26,False,9,0,
T00031,NGO001,9624.41,9.31,47.56,0.36,False,9,0,
T00032,NGO001,24251.0,5.97,46.9,0.27,False,15,0,
T00033,NGO001,34559.52,9.52,44.54,0.28,False,21,0,
T00034,NGO001,16040.1,0.65,44.93,0.28,False,14,0,
T00035,NGO001,22773.92,0.17,46.67,0.27,False,12,0,
T00036,NGO001,12564.22,5.67,40.41,0.23,False,8,0,
T00037,NGO001,23139.86,2.76,41.74,0.25,False,9,0,
T00038,NGO001,8512.82,7.26,43.47,0.22,False,14,0,
T00039,NGO001,23417.49,1.69,42.11,0.28,False,12,0,
T00040,NGO001,11181.92,1.32,51.66,0.23,False,16,0,
T00041,NGO001,13003.59,7.79,39.68,0.28,False,11,0,
T00042,NGO001,25015.54,9.63,45.21,0.26,False,9,0,
T00043,NGO001,15383.38,4.54,50.44,0.26,False,10,0,
T00044,NGO001,11872.12,11.34,43.63,0.22,False,11,0,
T00045,NGO001,18941.0,12.73,43.3,0.33,False,9,0,
T00046,NGO001,18507.54,3.96,44.87,0.26,False,11,0,
T00047,NGO001,23968.62,7.8,44.22,0.21,False,11,0,
T00048,NGO001,17615.99,5.03,47.23,0.37,False,13,0,
T00049,NGO001,22298.45,6.44,49.18,0.29,False,15,0,
T00050,NGO001,44131.37,7.44,47.06,0.3,False,14,0,
T00051,NGO001,11294.42,3.4,44.02,0.23,False,13,0,
T00052,NGO001,12880.71,2.53,50.37,0.24,False,16,0,
T00053,NGO001,47724.68,5.88,47.25,0.26,False,12,0,
T00054,NGO001,12354.38,0.65,49.83,0.33,False,18,0,
T00055,NGO001,13329.44,4.36,48.79,0.28,False,8,0,
T00056,NGO001,19924.16,3.41,48.03,0.29,False,6,0,
T00057,NGO001,6976.14,3.47,46.84,0.27,False,12,0,
T00058,NGO001,49691.87,9.37,52.09,0.26,False,13,0,
T00059,NGO001,44245.84,7.21,45.93,0.27,False,12,0,
T00060,NGO001,31285.66,8.66,44.96,0.27,False,9,0,
T00061,NGO001,29242.57,6.71,44.71,0.28,False,13,0,
T00062,NGO001,25704.07,5.51,51.24,0.31,False,10,0,
T00063,NGO001,10955.71,0.37,43.94,0.22,False,17,0,
T00064,NGO001,21150.17,7.66,47.86,0.24,False,15,0,
T00065,NGO001,10241.33,5.86,37.97,0.3,False,7,0,
T00066,NGO001,22685.96,92.07,42.46,0.25,False,10,1,Donation sat unspent for 92 days before disbursement
T00067,NGO001,15351.79,8.93,41.3,0.29,False,12,0,
T00068,NGO001,7744.34,3.72,46.11,0.28,False,18,0,
T00069,NGO001,22342.39,8.91,47.88,0.31,False,15,0,
T00070,NGO001,15172.43,9.54,44.25,0.22,False,17,0,
T00071,NGO001,18988.7,6.84,38.3,0.24,False,12,0,
T00072,NGO001,15827.17,6.02,45.8,0.26,False,14,0,
T00073,NGO001,7686.92,7.61,48.84,0.32,False,10,0,
T00074,NGO001,13806.22,10.65,46.01,0.3,False,13,0,
T00075,NGO001,28699.04,6.5,42.6,0.26,False,17,0,
T00076,NGO001,26444.51,9.18,40.38,0.23,False,6,0,
T00077,NGO001,18216.33,0.51,44.2,0.31,False,15,0,
T00078,NGO001,19572.59,0.89,45.49,0.28,False,12,0,
T00079,NGO001,30256.69,1.68,45.29,0.27,False,9,0,
T00080,NGO001,21337.48,5.81,48.52,0.24,False,14,0,
T00081,NGO001,10419.93,4.32,41.36,0.26,False,13,0,
T00082,NGO001,4649.24,3.9,46.3,0.27,False,12,0,
T00083,NGO001,10883.18,7.74,44.02,0.23,False,20,0,
T00084,NGO001,13754.23,10.93,44.91,0.29,False,13,0,
T00085,NGO001,9559.13,6.24,50.23,0.2,False,10,0,
T00086,NGO001,9921.92,4.06,42.41,0.32,False,15,0,
T00087,NGO001,10090.14,5.99,52.78,0.3,False,11,0,
T00088,NGO001,38953.39,3.37,41.51,0.3,False,18,0,
T00089,NGO001,16568.03,6.38,44.57,0.26,False,11,0,
T00090,NGO001,11564.6,4.22,43.07,0.27,False,10,0,
T00091,NGO001,20224.28,5.75,46.37,0.28,False,10,0,
T00092,NGO001,12174.28,6.3,47.91,0.22,False,14,0,
T00093,NGO001,11962.04,2.99,46.5,0.19,False,11,0,
T00094,NGO001,13784.58,7.92,40.67,0.27,False,9,0,
T00095,NGO001,15037.42,4.78,43.85,0.29,False,16,0,
T00096,NGO001,24944.31,1.41,43.27,0.29,False,12,0,
T00097,NGO001,17914.24,6.27,47.12,0.32,False,12,0,
T00098,NGO001,17370.89,4.54,44.36,0.28,False,11,0,
T00099,NGO001,4844.22,7.08,44.85,0.3,False,12,0,
T00100,NGO001,33375.55,0.39,44.6,0.27,False,18,0,
T00101,NGO001,14306.25,8.47,48.34,0.27,False,10,0,
T00102,NGO001,19107.15,1.56,49.09,0.28,False,11,0,
T00103,NGO001,27757.38,6.25,44.2,0.28,False,9,0,
T00104,NGO001,10411.32,6.21,44.23,0.28,False,14,0,
T00105,NGO001,33118.13,4.67,44.38,0.25,False,15,0,
T00106,NGO001,27874.19,7.24,51.29,0.25,False,9,0,
